/Users/xiaochoumao/Documents/github repo/摩尔庄园 5.5.0/fresh-port/01-cracked/Payload/MoleWorld.app/MoleWorld:
Indirect symbols for (__TEXT,__picsymbolstub4) 850 entries
address    index name
0x008864a0   118 _CATransform3DMakeRotation
0x008864b0   119 _CATransform3DMakeScale
0x008864c0   120 _CATransform3DMakeTranslation
0x008864d0   121 _CATransform3DRotate
0x008864e0   390 _CGPointFromString
0x008864f0   396 _CGRectFromString
0x00886500   412 _CGSizeFromString
0x00886510   480 _NSStringFromCGRect
0x00886520   481 _NSStringFromCGSize
0x00886530   730 _UIApplicationMain
0x00886540   737 _UIGraphicsBeginImageContext
0x00886550   738 _UIGraphicsEndImageContext
0x00886560   739 _UIGraphicsGetCurrentContext
0x00886570   740 _UIGraphicsGetImageFromCurrentImageContext
0x00886580   741 _UIGraphicsPopContext
0x00886590   742 _UIGraphicsPushContext
0x008865a0   743 _UIImageJPEGRepresentation
0x008865b0   744 _UIImagePNGRepresentation
0x008865c0   746 _UIImageWriteToSavedPhotosAlbum
0x008865d0   756 _UIRectFill
